,Player_Id,Runs,Over_count,Econ_Rate,cluster,Player_Name,Bowling_Skill,DOB,Country
0,219,8.0,1.0,8.0,0,RS Gavaskar,Slow left-arm orthodox,20-Feb-76,India
1,259,130.0,16.166666666666668,8.04,0,RV Gomez,Right-arm medium,16-Oct-85,India
2,274,406.0,54.5,7.45,0,AC Thomas,Right-arm fast-medium,9-Feb-77,England
3,171,42.0,7.0,6.0,0,M Manhas,Right-arm offbreak,12-Oct-79,India
4,265,20.0,3.0,6.67,0,NJ Rimmington,Right-arm fast-medium,11-Nov-82,Australia
5,284,90.0,13.833333333333334,6.51,0,RN ten Doeschate,Right-arm medium-fast,30-Jun-80,Netherlands
6,302,400.0,50.5,7.92,0,BA Bhatt,Slow left-arm orthodox,13-May-90,India
7,167,207.0,25.5,8.12,0,PC Valthaty,Right-arm medium,7-Dec-83,India
8,42,66.0,8.166666666666666,8.08,0,S Dhawan,Right-arm offbreak,5-Dec-85,India
9,281,35.0,5.0,7.0,0,NL McCullum,Right-arm offbreak,1-Sep-80,New Zealand
10,282,167.0,20.333333333333332,8.21,0,JE Taylor,Right-arm fast,22-Jun-84,New Zealand
11,324,116.0,17.833333333333332,6.5,0,KMDN Kulasekara,Right-arm fast-medium,22-Jul-82,Sri Lanka
12,294,222.0,26.5,8.38,0,P Parameswaran,Left-arm medium,30-May-85,India
13,446,196.0,27.0,7.26,0,Anand Rajan,Right-arm medium,17-Apr-87,India
14,300,7.0,1.0,7.0,0,Y Gnaneswara Rao,Right-arm medium,25-Aug-84,India
15,297,323.0,42.5,7.6,0,AA Chavan,Slow left-arm orthodox,28-Oct-85,India
16,301,18.0,2.6666666666666665,6.75,0,S Rana,Right-arm medium-fast,18-Sep-84,India
17,448,6.0,1.1666666666666667,5.14,0,SS Mundhe,Right-arm medium,27-Oct-88,India
18,266,144.0,18.833333333333332,7.65,0,AL Menaria,Slow left-arm orthodox,29-Oct-90,India
19,278,223.0,30.0,7.43,0,S Randiv,Right-arm offbreak,30-Jan-85,Sri Lanka
20,298,79.0,9.5,8.32,0,ND Doshi,Slow left-arm orthodox,6-Oct-78,India
21,253,414.0,54.5,7.6,0,MR Marsh,Right-arm medium,20-Oct-91,Australia
22,184,74.0,11.166666666666666,6.63,0,SM Harwood,Right-arm fast-medium,1-Mar-74,Australia
23,189,56.0,7.166666666666667,7.81,0,D du Preez,Right-arm fast-medium,8-Nov-81,South Africa
24,178,198.0,25.333333333333332,7.82,0,TL Suman,Right-arm offbreak,15-Dec-83,India
25,182,6.0,1.1666666666666667,5.14,0,LA Carseldine,Left-arm medium,17-Nov-75,Australia
26,193,58.0,8.333333333333334,6.96,0,C Nanda,Legbreak,29-Mar-79,India
27,441,34.0,4.166666666666667,8.16,0,SS Sarkar,Right-arm medium,15-Dec-84,India
28,85,5.0,1.0,5.0,0,AM Rahane,Right-arm medium,6-Jun-88,India
29,198,260.0,31.333333333333332,8.3,0,AB McDonald,Right-arm fast-medium,5-Jun-81,Australia
30,307,244.0,33.5,7.28,0,MN Samuels,Right-arm offbreak,5-Feb-81,West Indies
31,242,199.0,27.5,7.24,0,CK Langeveldt,Right-arm fast-medium,17-Dec-74,England
32,465,42.0,5.5,7.64,0,DL Chahar,Right-arm medium,7-Aug-92,India
33,217,58.0,7.833333333333333,7.4,0,JM Kemp,Right-arm fast-medium,2-Oct-77,South Africa
34,228,441.0,56.0,7.88,0,Bipul Sharma,Slow left-arm orthodox,28-Sep-83,India
35,220,225.0,31.833333333333332,7.07,0,SE Bond,Right-arm fast,7-Jun-75,New Zealand
36,230,76.0,9.333333333333334,8.14,0,AC Voges,Slow left-arm orthodox,4-Oct-79,Australia
37,233,308.0,39.166666666666664,7.86,0,J Theron,Right-arm medium-fast,24-Jul-85,South Africa
38,241,101.0,15.0,6.73,0,PD Collingwood,Right-arm medium,26-May-76,England
39,273,147.0,18.0,8.17,0,SB Wagh,Left-arm medium-fast,9-Oct-88,India
40,286,322.0,44.833333333333336,7.18,0,AG Murtaza,Slow left-arm orthodox,1-Jan-90,India
41,180,28.0,4.0,7.0,0,GR Napier,Right-arm medium,6-Jan-80,England
42,312,31.0,4.166666666666667,7.44,0,DAJ Bracewell,Right-arm fast-medium,28-Sep-90,New Zealand
43,316,568.0,77.66666666666667,7.31,0,GB Hogg,Slow left-arm chinaman,6-Feb-71,Australia
44,404,108.0,14.0,7.71,0,DJ Muthuswami,Right-arm medium,9-Mar-81,India
45,458,278.0,34.5,8.06,0,TA Boult,Left-arm fast-medium,22-Jul-89,New Zealand
46,394,228.0,29.5,7.73,0,DJ Hooda,Right-arm offbreak,19-Apr-95,India
47,401,409.0,48.166666666666664,8.49,0,D Wiese,Right-arm medium-fast,18-May-85,South Africa
48,329,97.0,13.666666666666666,7.1,0,Gurkeerat Singh,Right-arm offbreak,29-Jun-90,India
49,425,154.0,24.333333333333332,6.33,0,J Yadav,Right-arm offbreak,22-Jan-90,India
50,429,456.0,55.333333333333336,8.24,0,BB Sran,Left-arm medium,10-Dec-92,India
51,418,245.0,29.333333333333332,8.35,0,M Ashwin,Legbreak googly,8-Sep-90,India
52,411,15.0,2.0,7.5,0,C Munro,Right-arm medium-fast,11-Mar-87,New Zealand
53,408,192.0,23.833333333333332,8.06,0,CR Brathwaite,Right-arm fast-medium,18-Jul-88,West Indies
54,460,427.0,62.666666666666664,6.81,0,Mustafizur Rahman,Left-arm fast-medium,6-Sep-95,Bangladesh
55,462,102.0,12.333333333333334,8.27,0,Kuldeep Yadav,Slow left-arm chinaman,14-Dec-94,India
56,413,238.0,32.333333333333336,7.36,0,KH Pandya,Slow left-arm orthodox,24-Mar-91,India
57,432,195.0,23.666666666666668,8.24,0,S Kaushik,Slow left-arm chinaman,7-Sep-95,India
58,464,56.0,7.166666666666667,7.81,0,SM Boland,Right-arm fast-medium,11-Apr-89,Australia
59,430,117.0,17.166666666666668,6.82,0,A Zampa,Legbreak googly,31-Mar-92,Australia
60,369,8.0,1.6666666666666667,4.8,0,Sachin Baby,Right-arm offbreak,18-Dec-88,India
61,457,66.0,10.166666666666666,6.49,0,JW Hastings,Right-arm fast-medium,4-Nov-85,Australia
62,388,155.0,19.333333333333332,8.02,0,S Gopal,Legbreak,4-Sep-93,India
63,385,111.0,15.333333333333334,7.24,0,BCJ Cutting,Right-arm fast-medium,30-Jan-87,Australia
64,386,632.0,74.66666666666667,8.46,0,Imran Tahir,Legbreak googly,27-Mar-79,India
65,326,289.0,35.166666666666664,8.22,0,V Pratap Singh,Right-arm medium,3-May-92,India
66,335,242.0,39.0,6.21,0,A Chandila,Right-arm offbreak,5-Dec-83,India
67,322,598.0,73.16666666666667,8.17,0,P Negi,Slow left-arm orthodox,6-Jan-93,India
68,328,67.0,11.0,6.09,0,MJ Clarke,Slow left-arm orthodox,2-Apr-81,Australia
69,451,477.0,65.0,7.34,0,BW Hilfenhaus,Right-arm fast-medium,15-Mar-83,Australia
